start	end	text
0	2840	Today, Trump held an Antifa roundtable at the White House
2840	5940	and invited the real journalists who have been on the ground.
6600	8860	Secretary Noem hitched a red eye from Portland
8860	11280	and reports there's a major cover-up.
11880	15140	They are absolutely covering up the terrorism
15140	16620	that is hitting their streets.
16620	20040	The damage that they've done, these leaders in these local cities,
20200	23480	along with Pritzker and Johnson, ignore what's going on,
23520	25720	or, sir, they're helping Antifa cover it up.
26480	28640	Antifa assailants are assaulting reporters,
28640	31260	giving them black eyes, and cops are letting them off.
