start	end	text
0	4720	Imagine being a child awakened in the middle of the night by a Blackhawk helicopter landing
4720	6140	on your roof.
6140	8320	Kids in Chicago are getting hit by strays.
8320	13820	If they see a Blackhawk land on a roof to round up bad guys, that's a dream come true.
13820	16240	Rib's never worried about the children before.
16240	19520	He thinks ice is a bigger threat than street gangs.
19520	22040	The whole city's infested.
22040	26640	We learned that the Chicago city streets have 110,000 gang members.
26640	27640	That's right.
27640	32580	They had 1,200 shootings this year alone, 360 homicides.
32580	35400	Parts of Chicago are more dangerous than Afghanistan.
35400	39360	Five percent of the people in Chicago are gang members.
39360	42920	Almost 10 percent of the city is illegal.
42920	44540	So the guard's going in.
44540	49660	Over 500 members of the guard from Illinois, Texas, and California have been deployed for
49660	52020	a 60-day mission.
52020	55280	And what's JB Back actually going to do about it?
55280	56500	Nothing.
56500	61260	If he tells Chicago PD to block the guard, do you think the police are loyal to Rib's
61260	63260	or the president?
