start	end	text
0	1120	But give the Dems some credit.
1240	2840	At least they're finally recognizing
2840	4980	that their typical male supporter
4980	7040	is a smelly life support system
7040	8180	for a man bun.
9860	11540	I mean, you know you're in trouble
11540	14140	when your Rambo is Beto O'Rourke.
16740	18760	And if this is your party's answer
18760	20000	to Clint Eastwood...
24000	24520	Yeah.
25380	27240	No wonder Democrat men
27240	28460	start menstruating.
28460	31840	And this is your action hero?
32600	34400	He banged the first girl
34400	35740	who ever talked to him.
36180	38340	And she did it because she was a spy.
41300	43100	Now, it's good they're hitting the gym,
43220	44580	but we do it for ourselves,
44720	45980	not for political advantage.
46540	47660	There's a difference there.
48040	50080	Republicans go because we like work.
50180	50980	We like strength.
51060	51700	We like winning.
51700	54480	We like women doing lunges and lululemons.
54480	59880	And look, I mean, look at me.
59940	61160	You think all this happens
61160	62860	without hours at the gym?
64360	66880	Shout out to my personal trainer, Seth.
68640	69720	Don't wait up.
