start	end	text
0	2760	It's like trying to fake the male orgasm,
2760	4660	and they'll probably do that, too.
8660	10760	Perfect answer.
10760	13620	No, you were on the five earlier,
13620	17440	and I'm surprised you didn't have that take on there.
17440	17900	I did.
17900	19200	They bleeped me.
19200	21660	I'm always getting censored.
21660	23820	But this is from the party that, you know,
23820	26180	when Pete Hegseth came out and said,
26180	28740	we have to have standards of physical fitness
28740	34440	in the military in order to be lethal and effective and feared.
34440	37860	And it was the Democrats on MSNBC were like, oh, my god,
37860	41360	that is so sizist and disgusting.
41360	43980	So you're telling me that you want women
43980	46980	to do difficult things in the military in order
46980	50500	to complete tasks so they can compete on the global stage?
50500	53320	What is wrong with you, you monster?
53320	55560	And it's like demonizing physical fitness.
55560	57220	They're like, these poor generals.
57220	60520	So you're telling me you want the people who lead the military
60520	63820	to be able to do the physical fitness standards that other
63820	66940	people in the military have to kill themselves trying to do?
66940	68260	What is wrong with you?
68260	71800	So it's like you've already shown what you despise.
71800	76400	And you can't, it is so, to Brian's point and his undescended testicle,
76400	81200	it is so inauthentic the next day to be like, oh, my god,
81200	82760	I think going to the gym is great, right?
82760	83880	Like, I go here.
83880	84880	It's so natural.
84880	88780	It's almost like, Adam, you would understand this.
88780	92760	It's almost like a racist saying there, oh, I love black people.
92760	93780	You get that.
93780	94960	Oh, all the time.
94960	100840	Look, I mean, to your point, I think everyone should try to get in shape.
100840	107180	Like, I'm on this new diet called Get Fatter Friends, where I just hang out.
107180	112260	But I do think that, like, I don't get my politics from a fitness influencer, just like I don't
112260	113760	get my fitness from Chris Christie.
113760	114760	Yes.
114760	117580	You know, and I think people should stay out of it, because I think it gets to be
117580	118580	too much.
118580	121800	Pretty soon you're going to be watching a porn, and the guy in the middle of it is going to
121800	125720	be like, I'm getting an SGD right now, but that's okay, because Republicans are taking
125720	127000	away my health care.
127000	136200	It's just like, but I do like that they're doing, like, guys like Gavin Newsom are doing,
136200	139800	like, this whole bro podcast, because it's exposing them.
139800	143520	Like he said, I'm a Swifty, but I can't name one Taylor Swift song.
143520	144520	Yes.
144520	150520	Which is like saying, I use deodorant, but I'm French.
150520	152980	So...
