start	end	text
0	5540	Trump says Governor J.B. Pritzker and Mayor Brandon Johnson should be in jail.
6160	11220	ICE officers' lives are in danger in Chicago, and at this point, they're aiding and abetting an insurrection.
12080	15300	This is nothing more than sabotage and a dereliction of duty.
15680	19260	But the mayor says Trump's just trying to lock up another brother.
19820	28820	It's certainly not the first time that Donald Trump has called for the arresting of a black man unjustly.
28820	31520	I'm not going anywhere. I'm going to stay firm.
32100	35800	Johnson's not very bright. Trump also wants to lock up the white guy.
36320	38420	But the white guy's building a wall.
39200	45220	This is a convicted felon. I mean, think about that. Who is threatening to jail me.
46220	50740	I got to say, this guy's unhinged. He's insecure. He's a wannabe dictator.
51240	54340	And there's one thing I really want to say to Donald Trump.
54560	58780	If you come for my people, you come through me. So come and get me.
58820	64120	Jamie backs big, but he's not that big. How's ribs going to stop a chopper?
