start	end	text
0	11740	Kat, I'm trying to think, is there like an analogy of liberals invading, I mean, Republicans invading like a liberal bastion and saying, if we just hang out here, you know what I mean?
11940	16560	It feels like they're poaching, they're trying to poach people, but it's not working.
16800	20360	Yeah, I don't feel like Democrats need to go to the gym.
20480	22720	I think they just need to go somewhere.
23040	23280	Right.
23920	24400	Right?
24480	26820	Like, I don't feel like it should be that complicated.
27000	27400	Yeah, you're right.
27400	33720	Instead of maybe sitting around, like, running analytics on men, why don't you just go out and meet them?
33920	34240	Right.
34380	36880	Like, they're not like mythical creatures in a forest.
37220	40200	You can just go talk to dudes.
40360	40680	Yes.
40800	41640	It's not that hard.
41640	42120	You don't have to.
42240	44040	It's actually too easy.
44380	44720	Yeah, it is.
44720	47260	It's harder to not talk to dudes than it is to talk to dudes.
47260	48620	Just unbutton the top button.
48680	49400	It works for me.
49580	55320	But they're acting like you need to, like, create men in a laboratory and then, like, run tests on them.
55720	56720	Just go outside.
56720	58020	Go to a place where people are.
58340	60200	But you have to talk and you also have to listen.
60500	64860	You have to listen without looking for a thing where it's like, well, actually, this thing you set.
64960	65960	You have to just listen.
66360	66540	Yeah.
66680	67500	But you know what?
67700	69240	You're saying it's easy to go outside.
69320	74480	But that might be the number one issue is that they don't like going outside in general.
75040	76280	Well, who does?
76380	77080	Yeah, that's true.
77080	77260	I don't know.
77260	77760	Yeah.
