start	end	text
0	1600	AND IT'S HELPING FEMALE DEMOCRATS
1620	3580	TOO, WHO NOW REALIZE THAT A GUY
3580	5120	WHO LOOKS LIKE PETE HEGSETH AND
5120	7320	CAN CARRY THE GROCERIES IS FAR
7320	9000	MORE PREFERABLE TO THEIR SOY
9000	10360	FLAVORED EMOTIONAL SUPPORT
10380	12240	ANIMALS, WHOSE IDEA OF PLEASING
12260	13740	A WOMAN IN THE BEDROOM IS TO
13760	18000	VACUUM IT.
18000	19300	OF COURSE, YOU'RE GOING TO HAVE
19320	21000	TO KNOW EXACTLY WHAT A WOMAN IS
21020	23520	OR DUDES WILL SPLIT BECAUSE YOUNG
23520	25620	MEN, THEY LIKE YOUNG WOMEN TOO,
25640	28600	A LOT, ESPECIALLY THE ONES WITHOUT
28600	30480	PENISES.
