start	end	text
0	1000	So change is afoot.
1100	4520	Suddenly the Dems are like, wait, these Republican guys are strong and confident.
4680	5780	Maybe we overcorrected.
5900	8100	A little toxicity is kind of hot.
8200	12840	And maybe being a helpless perpetual whiner isn't the path to happiness.
13660	14740	We call that growth.
15240	17340	And the first step is admitting you were wrong.
17640	20640	The second step is admitting you were wrong again.
20880	22800	Because I never get tired of hearing it.
23460	27540	But also, why not unblock all your conservative loved ones and admit that they're not Hitler,
27540	30360	even those with an undescended testicle?
34400	37460	You know, so not right.
37700	41100	I'd storm all if Katie Porter didn't beat me to it.
41320	42760	I'll be finished in a little bit, young man.
42780	43360	Thank you very much.
43420	47940	And even if the liberals' fitness is driven by politics, who cares?
48040	49560	They'll soon discover testosterone.
49880	54280	Then along with it, logic and reason and poof, they're wearing khakis and voting Republican.
54280	60020	The fact is, you can't hold your applause until we meet later.
61340	67020	The fact is, you can't be into fitness and into socialism, gender ideology, or open borders.
67280	69980	There is no redistribution at the gym.
70040	72440	You can't take someone else's well-earned muscles.
72440	78980	And you can't tell everyone that your scrawny biceps identify as 20-inch pythons.
81080	84920	And you can't work out at a good gym unless you're a member.
85740	87400	But that's the hidden genius of Trump.
87640	89680	He doesn't just make America great again.
89820	91840	He makes his enemies better, too.
92300	95000	By leaving the left in the dust, he's raised the bar,
95000	98520	which has forced them to start lifting it.
99000	101860	Let's welcome, here he is.
104080	105320	Tonight's guest.
106000	110340	The original name of his show was One Nation Hates Him.
110640	113420	Host of One Nation and Fox & Friends, Brian Kilmeade.
116840	121120	She went from interviewing smashing pumpkins to digesting prunes.
121540	123960	Host of the Kennedy Saves the World podcast, Kennedy.
123960	132020	He calls ice on his comedy show so that someone will show up.
132280	133220	Comedian Adam Hunter.
137120	139800	And when the FBI spied on her phone,
139880	142180	they only got info on how to poison your boss.
142500	144680	New York Times best-selling author and Fox News contributor, Cat 2.
149680	152640	You know, Brian, I know physical fitness and looking good
152640	153780	is not really your thing.
154300	160360	But do you think that it's okay to fake fitness to reach voters?
160580	161880	Is that a weird thing?
162080	164640	First off, I had to get paid for those two appearances
164640	166360	during your monologue, which I knew nothing about.
166720	170380	First off, I dare you mess with my upper body.
170640	171900	I am clean-shaven.
172020	172800	I'm defined.
173020	173960	I have great biceps.
173960	175460	My deltoys are to kill for.
175460	178020	Not even to bring up my triceps, but I digress.
178540	180680	First off, let's talk about authenticity.
181260	184520	You have RFK, who was fit before he was HHS secretary.
184920	187440	Pete Hegseth walked around here with a tank top and tattoos.
187600	187800	Oh, yeah.
187800	189300	We always knew how fit he was.
189400	189800	You know it.
189800	191920	But you have Javier Bechera and Lloyd Austin.
192200	193760	Let me ask you, who bleeds fitness?
194200	195480	It is, of course, these guys.
195780	198280	They were cheering for Donald Trump at UFC events
198280	200040	before he thought about running for president.
200420	201460	He loves golf.
201540	202580	He shows up at the Ryder Cup.
202620	203680	It becomes a frat party.
204020	207160	This is very authentic and sincere.
207460	208440	This is who they are.
208820	210580	The problem is they spend $10 million.
211060	211720	Am I going too long?
211960	214060	They spend $10 million on a focus group
214060	217360	to find out why Democrats are bleeding men.
217580	218360	$10 million.
218820	221240	All they have to find out is what men want
221240	224380	and what they stand for and then work through that lane.
224800	226140	The one thing that Trump has brought,
226280	227320	you have to be authentic.
227460	228320	You have to be yourself.
228660	229260	He's tough.
229260	229940	He's crude.
230360	231460	He is insulting.
231820	234220	But that's who he is, and America embraces it.
234500	237560	And these other people trying to do that is the problem.
237720	238740	Schumer cursed today.
238980	239640	I saw that.
239640	240600	Schumer hasn't cursed since 1981.
241280	244840	Yeah, he's like Burgess Meredith
244840	248160	from the Batman series, but on life support.
248940	252720	Kennedy, there is that phrase, fake it till you make it.
252820	253640	I'm sure you've heard of it.
253760	253920	Yeah.
254000	255720	Do you think the Democrats can fake
255720	258420	being into something that guys like
258420	259680	until they make it?
260280	262680	I'm not crazy about the idea of,
262940	266380	I feel like they have the equation reversed.
266720	269000	It's like, we're interested in Trump.
269000	270940	It's not like they can just suddenly
270940	272360	make us interested in them.
