start	end	text
0	4440	The president will not find lawlessness or violence here.
4440	6940	I've been so deeply disappointed to see footage
6940	11240	from a half decade ago, recycled and recycled again.
11240	14080	If President Trump came to Portland today,
14080	17380	what he would find are people riding their bikes,
17380	20580	playing sports, enjoying the sunshine,
20580	23120	buying produce at a farmer's market.
23120	25060	People enjoy sunshine and buy produce
25060	26600	at farmer's markets in Ukraine.
26600	30540	Is Ukraine a-okay and recycled footage?
30540	33400	There's been riots for over a hundred days.
33400	36980	They showed footage of January 6th for two years,
36980	38680	and that was only one day.
