start	end	text
0	7500	I watched 20 Antifa militants help my assault suspect escape into an Antifa safe house that
7500	9940	is one block away from the ICE facility.
9940	15460	It's where they're resting, they're showering, they're eating to continue this occupation.
15460	20080	I have staked out this safe house and have observed shift changes.
20080	24440	This group is highly organized, it is being funded through mutual aid groups, and they
24440	26560	have no plans of stopping.
26560	30540	The press is under attack, and the White House press couldn't care less.
30540	35440	They're complaining about Trump waking them up on Air Force One, while brave reporters are
35440	38940	documenting the dangers of domestic terrorism in blue cities.
38940	42320	My question for all of you is how would you feel?
