start	end	text
0	1520	if every time you showed up to work,
1520	3420	masked militants tried to kill you.
3420	5840	Because that's how we feel, that's our lived reality.
5840	8340	And you guys go and tell us that we're liars,
8340	10540	the riots aren't that bad, right?
10540	12200	I've never seen any of you guys on the ground.
12200	14860	In fact, I've never seen anybody representing
14860	16940	the companies you work for on the ground.
19280	20120	And welcome to Hannity.
20120	22240	We begin tonight with a Fox News alert.
22240	25140	Major, huge breaking news from the Middle East tonight.
25140	27900	The war in Gaza is now coming to an end.
27900	29380	The White House is now confirming
29380	30760	the deal between Israel.
30760	33980	Hamas is signed, it is sealed, it is delivered.
33980	35480	The White House is now confirming
35480	37880	the deal between Israel and Hamas.
37880	41460	It is, in fact, at that point moments ago on Truth Social.
41460	43920	President Trump posted the following, quote,
43920	47160	I am very proud to announce that Israel and Hamas
47160	51780	have both signed off on the first phase of our peace plan.
51780	54080	Now, this means that all of the hostages
54080	56060	will be released very soon,
56060	58300	and Israel will withdraw their troops
58300	62700	to an agreed upon line as the first steps towards a strong,
62700	64400	durable, everlasting peace.
64400	66800	All parties will be treated fairly.
66800	71260	This is a great day for the Arab and Muslim world, Israel,
71260	74400	all surrounding nations, and the United States of America.
74400	82900	And we thank the mediators from Qatar and Egypt and Turkey who worked with us to make this historic,
82900	84900	unprecedented event happen.
84900	86780	Blessed are the peacemakers.
86780	89960	Now, this is real transformational history in the making.
89960	93000	President Trump, he will join us on this show in just a moment.
93000	98600	But so many major things had to happen for this historic moment to occur.
98600	107400	For decades, most Arab nations, they have been completely unwilling to participate in helping to resolve this never-ending conflict.
107400	120500	President Trump was able to build a coalition, likely unthinkable, two years ago, one day after the historic, horrific, unprovoked attacks on Israel, October 7, 2023.
120500	125100	The equivalent of 40,000 dead Americans in a day, 1,500 dead Israelis.
125100	126400	They have a small population.
126400	131300	The president successfully negotiated these countries' commitments and involvement.
131300	139000	Also, President Trump was able to work with Israel after building a great relationship with Prime Minister Netanyahu.
139000	146500	And the prime minister was then willing to trust the president, sign off on concessions to build a lasting peace.
146500	150100	And the security guarantees that Israel will need to move forward.
150100	163900	But perhaps the most powerful message that President Donald J. Trump sent to the entire Middle East, the loudest message possible, was when the president followed through the principle of peace through strength.
163900	166700	He gave Iran a deadline for peace.
166700	172500	And when they rejected it, President Trump obliterated the Iranian nuclear sites this summer.
172500	179500	Now, the president said in the lead-up to tonight that we can do this the easy way or they can do it the hard way.
179500	187500	He warned in no uncertain terms, Hamas, that if they did not take the deal, he used the word, they would be obliterated.
187500	190100	Does anyone doubt that would have been the next step?
190100	197100	According to a report from our very own Jennifer Griffin, all 20 living hostages will be freed on the same day.
197100	204100	There will be no ceremonies inside of Gaza to humiliate the hostages before they are handed over.
204100	210100	Hours ago, here is how the president learned of the news during a press conference about Antifa.
210100	211100	Take a look.
211100	214100	Well, they're smart, but they're not smart enough.
214100	215100	They...
215100	217100	Oh, my microphone's broken.
217100	220100	...departments to find the criminal conspiracy.
220100	221100	Okay.
221100	222100	Thank you.
222100	224100	I'm just giving...
224100	226100	Mr. President!
226100	235100	Yeah, I was just given a note by the Secretary of State saying that we're very close to a deal in the Middle East, and they're going to need me pretty quickly.
235100	261100	I shall go this quickly.
