start	end	text
0	5260	And finally, James Comey was arraigned today regarding federal charges of lying to Congress.
5840	8920	You know, just for fun, they should give him this many days.
11660	12140	Yeah.
14900	15460	Yeah.
17800	21680	So apparently Democrats have a new plan to win back young men.
21680	26600	And it's not inventing a time machine to undo the last eight years where dudes wore
26600	31360	moomoo's and a dead guy was elected president.
31360	35720	The party is testing everything from beer ads to left wing influencers.
35720	40760	In other words, they're trying to rebrand a bad product instead of putting out a good one.
40760	44560	They're even trying something called gym outreach.
44560	52520	Yeah, gym outreach, which, by the way, was my stage name when I made those films to pay my way through community college.
52520	54080	Those were the days.
54080	58840	Democrat operatives are paying left leaning fitness influencers to create online content.
58840	60080	Think about that.
60080	64340	They're paying guys to pretend that they're masculine liberals.
64340	66700	And here I thought that was what Hollywood was for.
68660	75460	But the same guys who called physical fitness white supremacy now pretend that they like the bench press.
75460	80100	Finally, a transition that doesn't make you cut anything off except the car.
