start	end	text
0	3740	We will prove worthy of your sacrifice.
3740	7340	We will prove worthy of your time on earth.
7340	9920	We will make you proud.
9920	12280	We will finish the job.
12280	15900	We will defeat the forces of darkness and evil.
15900	19000	And we will stand every day for what is true,
19000	21160	what is beautiful, what is good.
21160	26160	And we will achieve victory for our children,
26160	29340	for our families, for our civilization,
29340	32380	and for every patriot who stands with us.
32380	34140	God bless you.
34140	35880	God bless Turning Point.
35880	37500	God bless Erica.
37500	39660	God bless the Kirk family.
39660	41560	God bless our heroes.
41560	43980	And God bless the United States of America.
43980	44820	Thank you.
