start	end	text
0	2000	I DON'T THINK IT'S A LITTLE
2020	2520	BIT.
2520	4520	I DON'T THINK IT'S A LITTLE
4520	5020	BIT.
5020	7360	I DON'T THINK IT'S A LITTLE BIT
7360	9000	LIKE, LAUGH AT THEM.
9000	11380	I WISH I HAD A HOODIE ON.
11380	13520	ARE WE TRYING TO PLAY SORORITY
13520	15500	SISTER AS ELECTED OFFICIAL?
15500	17440	I WAS AT A SORORITY OVER THE
17440	18500	WEEKEND IN TEXAS.
18500	20440	I FEEL LIKE I WAS BACK AT THE
20440	21440	SORORITY HOUSE.
21440	23000	THEY HAD MORE SENSE.
23000	25520	WE KNEW HER BRAIN DIDN'T WORK.
25520	27520	NOW WE KNOW THEIR EYES DON'T
27520	28120	WORK.
28120	31120	I DON'T THINK IT'S A LITTLE
31120	31620	BIT.
31620	33120	I THINK YOU SHOULD JUST GET A
33120	33620	HOODIE.
33620	35120	YOU SHOULD JUST WEAR A HOODIE
35120	37120	FROM NOW ON AND RESPOND TO HER
37120	38120	IN A HOODIE.
38120	40120	SHE SHOULD BE HOODIE TO HOODIE.
40120	41120	GO AHEAD.
41120	43120	I THINK THE IMPORTANT POINT
43120	45120	IS THAT EVERY TIME SHE'S ON TV,
45120	46120	REPUBLICAN APPROVAL RATINGS GO
46120	47120	UP, DEMOCRAT APPROVAL RATINGS GO
47120	48120	DOWN.
48120	51120	THAT LADY IS A WALKING NIGHTMARE.
51120	54120	AND YOU'RE ABOUT, I KNOW YOU
54120	57460	FOR 20 YEARS, YOU'RE ABOUT 5'10
57460	58460	YEARS AGO.
58460	59460	THANK YOU VERY MUCH.
59460	60460	THANK YOU VERY MUCH.
60460	62460	HEY, SEAN HANNITY HERE.
62460	64460	HEY, CLICK HERE TO SUBSCRIBE TO
64460	66460	FOX NEWS YOUTUBE PAGE AND CATCH
66460	67460	OUR HOTTEST INTERVIEWS AND MOST
67460	68460	COMPELLING ANALYSIS.
68460	69460	YOU WILL NOT GET IT ANYWHERE ELSE.
