start	end	text
0	2740	Is anyone going to riot? Is anyone going to try to shoot them in the face?
3160	11100	If someone goes into a building full of people in the middle of the night covering their faces without identification, without identifying themselves,
11240	21260	there might be concern among the community, especially if American citizens are being, especially if American citizens are caught up in that, which some importantly were.
21280	25460	We netted over 30 foreign terrorists who are members of Trained Uruguay.
25460	28080	And American citizens also wound up apprehended in that.
28080	34520	They torture women and children. Those American citizens are now safe from Trained Uruguay.
34780	36540	You know, there was a case recently in Washington state.
36540	40380	But isn't that enough reason for some people to demonstrate and say that they disagree with that policy?
40380	41700	They took a power drill.
42140	43680	Isn't it enough for some people?
