start	end	text
0	6880	Well, first of all, the black people in Chicago are thrilled that we're getting the illegal aliens out of their communities who are stealing their housing, jobs, and resources.
6880	15780	You've seen the video of the town halls during the Biden administration where black citizens who are natives of Chicago were begging to have the illegals taken out of their country.
16340	24120	What they've done is they've created a system of law in Chicago, in Illinois, where illegal aliens have far more rights than American citizens.
24120	31060	If an American citizen, for example, commits a crime of sexual predation against a child, they'll cooperate with the FBI.
31180	37320	If an illegal alien commits a crime of sexual predation against a child, that illegal alien will be shielded in an ICE no-go zone.
37640	43440	I ask you the question, what is the right term to describe a local official declaring a no-go zone for ICE?
43600	46120	Would you tolerate it for FBI, ATF, DEA?
46740	47680	No, you would not.
47680	54400	But there is an effort to delegitimize the core function of the federal government of enforcing our immigration laws and our sovereignty.
54960	56000	It is domestic terrorism.
56420	57200	It is insurrection.
57780	66100	And no amount of insane, hyperventilating lies from Pritzker or Johnson or any other Democratic official will change our minds on that.
66480	70940	ICE officers should not have to live in fear and violence to do their jobs.
71260	71520	Period.
71520	81080	So on the substance of the question, is it the case that as Pritzker frames it, you are profiling brown people,
81560	87080	that this immigration crackdown is designed to go after people of color?
