start	end	text
0	2260	So, no, this policy is not designed to...
2260	3580	I thought when I said it was a dumb question, it meant no.
4080	5600	Well, I just want to be clear and precise.
5880	7880	I appreciate you trying to qualify my questions,
7980	10500	but nevertheless, I think it's a fair one that a lot of people have.
10720	14140	My full answer is no, that is a lie, and it's a dumb question.
14420	16720	But you said something else baked into the premise of one of your questions.
16800	19260	You said, well, aren't we provoking...
19260	22900	Illinois governor says we're provoking actions that are unlawful.
23460	25060	Why would the mere presence...
25060	26100	Just think about this for a second.
26100	31480	If I put federal law enforcement and National Guard into a nice, sleepy southern town...
