start	end	text
0	3440	That is the, it's such a, oh, what a dumb question.
3740	8700	The illegal aliens who are here are taking jobs away from blacks.
8940	10740	They're taking jobs away from whites.
10960	12880	They're taking jobs away from Latinos.
13180	15500	They're taking their health benefits away.
15640	17360	They're taking their school slots away.
17360	20620	And, of course, in many cases, they're committing heinous crimes.
21440	27380	We cannot have a system of law in this country that privileges illegal aliens over American citizens.
27520	28500	And that's what they're doing.
28500	30160	You know it, and I know it.
30360	32900	So that's not exactly a no, Stephen.
33360	36340	Can you just unequivocally state that the immigration policy.
36340	37400	I said it's a dumb question.
37800	38820	I appreciate that.
38960	39880	No, and it's a dumb question.
