start	end	text
0	2000	NO, THEY ARE ACTUALLY, AS WE
2000	4500	SPEAK, TRYING TO OVERTHROW THE
4500	6400	CORE LAW ENFORCEMENT FUNCTION OF
6400	7600	THE FEDERAL GOVERNMENT.
7600	9000	OF COURSE, THIS IS, I THINK,
9000	10500	WHAT WE'RE TALKING PAST EACH
10500	11000	OTHER.
11000	14000	WHEN ICE OFFICERS HAVE TO STREET
14000	16000	BATTLE AGAINST ANTIFA, HAND-TO-
16000	18000	HAND COMBAT EVERY NIGHT TO COME
18000	20000	AND GO FROM THEIR BUILDING, WHEN
20000	22000	THEY TRY TO EXIT IN A VEHICLE,
22000	24000	WHEN THEY ARE SWARMED AND
24000	26000	SURROUNDED AND THEY TRY TO TIP
26000	28000	THE VEHICLE OVER, WHEN PEOPLE
28000	30000	TRY TO ENGAGE IN DIRECT VIOLENT
30000	32000	ASSAULT AGAINST ICE OFFICERS, WHAT
32000	33000	IS THE PURPOSE?
33000	35000	IT IS TO PREVENT IMMIGRATION AND
35000	37000	CUSTOMS ENFORCEMENT FROM CURRING
37000	38000	OUT THE MISSION THE AMERICAN
38000	39000	PEOPLE ELECTED THEM TO DO.
39000	41000	YOU MAKE THE CASE THAT THESE
41000	45000	ARE TERRORISTS, BUT IN WHAT WE'VE
45000	48000	SEEN THUS FAR, THE ACTUAL
48000	51000	INCIDENTS OF PEOPLE INCITING
51000	54000	VIOLENCE AND NOT RESPONDING TO
54000	55000	LAW ENFORCEMENT ATTEMPTING TO
55000	57000	DISBURSE THEM ARE NOT ALL
57000	60000	OPEN REBELLION.
60000	63000	I MEAN, AGAIN, YOU MAKE THIS
63000	64000	CHARACTERIZATION AS THOUGH
64000	65000	THEY'RE TERRORISTS, AND I DO
65000	67000	WONDER IF IT'S
67000	69000	STORM.
69000	81000	DONE THE MENTAL
81000	82000	STOP  SUBORES MEMBERS, THAT LEFT
