start	end	text
0	1820	I THINK THAT'S WHAT I'M GOING
1840	2820	TO DO.
2820	5620	STEPHEN, CLEARLY YOUR FOCUS ARE
5620	6820	THE TAMALA VENDORS.
6820	8620	THAT'S CLEARLY WHAT YOU ALL ARE
8620	9920	TRYING TO GET AT.
9920	11760	WELL, FIRST OF ALL, HE USES
11760	14200	THE TERM, THINK ABOUT THIS, HE
14200	15960	USES THE TERM INVASION FORCE.
15960	17700	THIS FOOL, GOVERNOR PRISKER,
17720	20440	USES THE TERM INVASION FORCE TO
20440	22240	DESCRIBE FEDERAL LAW ENFORCEMENT.
22240	24680	HE IS ADOPTING THE LANGUAGE AND
24680	26520	THE NARRATIVE OF THE PAID
26520	28120	INSURRECTIONISTS AND THE ANTIFA
28120	28480	MOBS.
28480	30480	THAT'S WHAT I'M GOING TO DO.
30480	32480	THAT'S WHAT I'M GOING TO DO.
32480	34480	THAT'S WHAT I'M GOING TO DO.
34480	36480	THAT'S WHAT BIDEN FLOODED INTO
36480	37480	THIS COUNTRY.
37480	39480	TAKING OUR JOBS, TAKING OUR WAGES,
39480	41480	FILLING UP OUR HOSPITALS,
41480	42480	DESTROYING GOD KNOWS HOW MANY
42480	44480	SCHOOLS AND OF COURSE LEADING
44480	46480	TO COUNTLESS RAPES, ASSAULTS,
46480	47480	AND MURDERS.
47480	49480	THAT WAS THE INVASION FORCE.
49480	51480	PRESIDENT TRUMP WAS ELECTED ON A
51480	53480	MANDATE TO TURN THAT INVASION
53480	55480	BACK TO SEND THOSE ILLEGALS
55480	56480	HOME.
56480	58480	PRESIDENT TRUMP IS REPEATING AND
58480	59480	ATTACKING ICE OFFICERS.
59480	61480	AND HIS LATEST ACT DECLARING
61480	63480	THERE ARE NO-GO ZONES WHERE
63480	64480	FEDERAL LAW ENFORCEMENT IS NOT
64480	66480	PERMITTED IS TRULY AN ACT OF
66480	67480	INSURRECTION AGAINST THE FEDERAL
67480	68480	GOVERNMENT.
68480	70480	DO YOU ANTICIPATE THE FEDERAL
70480	72480	GOVERNMENT WILL CITE THE INSURRECTION
72480	75480	ACT IN ORDER TO RAMP UP FEDERAL
75480	77480	PRESENCE AND FEDERAL PRESENCE
77480	80480	KEPT SAFELY IN A CITY LIKE
80480	82480	CHICAGO?
