start	end	text
0	1040	Well, so I would like to.
1740	4220	I bet you would like to, but that doesn't mean you're going to. Are you?
4520	9560	No, no, no. What I'm saying to you is the Congress has statutes on seditious conspiracy,
10100	13200	on insurrection, on impeding federal law enforcement.
13700	18400	The domestic terrorism statute in Congress obviously needs to be strengthened for domestic terrorism in Congress.
18480	19720	We have foreign terrorism charges.
19720	22040	We have an entire patchwork of federal laws.
22580	26520	To the extent that there are charges that apply, we will charge them in every single case.
26520	29160	You have impeding law enforcement. You have seditious conspiracy.
29380	30720	You have a conspiracy to the private rights.
31100	32900	You have assault against law enforcement officers.
33380	38020	But all of this meets the hallmark textbook definitions of domestic terrorism.
38540	43480	I just want, Boris, I just want you just for a moment to step back and think about what we're talking about here.
43860	47540	We, President Trump ran and won a campaign on turning back the border invasion.
47860	49460	You've said that several times, Stephen.
49460	51580	We have a limited amount of time, so let me ask you.
51880	53160	Let me ask you about the governor of Illinois.
53160	56480	Peter is going to be a no-go zone for ICE.
56480	58120	How is that not insurrection?
58260	61620	Stephen, Stephen, we're set to hear from J.B. Pritzker in just moments.
61860	66140	He says that you're attempting to inflame tensions and create a war zone.
66340	70820	He also says that you are profiling, that you're targeting black and brown people,
71180	73400	even those who turn out to be here legally.
73680	74760	What's your response?
74760	104740	Thank you.
