start	end	text
0	1500	WELL, THE PRESIDENT HAS
1500	2500	NUMEROUS AUTHORITIES TO ENSURE
2500	3960	PUBLIC SAFETY AND ORDER IN OUR
3960	4520	COMMUNITIES.
4520	6120	THE PRESIDENT HAS THE AUTHORITY
6120	7680	TO SEND TO THE NATIONAL GUARD.
7680	8820	THE PRESIDENT HAS THE AUTHORITY
8820	9920	TO SURGE IN FEDERAL LAW
9920	10320	ENFORCEMENT.
10320	11760	THE PRESIDENT HAS THE AUTHORITY
11760	14520	UNDER 287G TO DEPUTIZE
14520	16140	OFFICIALS ACROSS THE COUNTRY TO
16140	17680	ENGAGE IN IMMIGRATION AND
17680	19360	CUSTOMS ENFORCEMENT WORK AND
19360	20160	MANY OTHER TOOLS.
20160	21320	AND OF COURSE THE INSURRECTION
21320	23320	ACT IS ONE LAWFUL STATUTORY TOOL
23320	24600	AT THE PRESIDENT'S DISPOSAL.
24600	26160	I THINK THE MOST IMPORTANT
26160	28320	POINT TO CONVEY TONIGHT, LAURA,
28320	30480	IS THAT THE PRESIDENT IS NOT
30480	32560	GOING TO ALLOW AMERICANS,
32560	35560	AMERICAN CITIZENS TO BE RAPED,
35560	37560	MURDERED, MAIMED AND KILLED BY
37560	39220	ILLEGAL ALIEN GANGBANGERS,
39220	40920	TERRORISTS, DRUG DEALERS AND
40920	41420	PSYCHOPASTS.
41420	42840	WE'RE NOT GOING TO LEAVE OUR
42840	44480	CITIZENS AT THE MERCY OF A
44480	45820	DEMOCRAT CRIMINAL JUSTICE
45820	47960	SYSTEM THAT FREEZE SERIAL REPEAT
47960	50660	OFFENDERS TO STAB WOMEN IN
50660	52780	SUBWAYS, TO BREAK INTO PEOPLE'S
52780	54600	HOMES AND STAB LITTLE CHILDREN
54600	56600	TO DEATH IN THEIR BEDS AND TO
56600	57880	UNLEASH THIS RAIN OF TERROR ON
57880	58600	OUR CITIZENS.
58600	60200	PRESIDENT TRUMP IS NOT GOING TO
60200	60920	STAND FOR IT.
60920	62520	THAT'S THE BOTTOM LINE.
62520	65760	STEPHEN AOC IS YOUR HER FAVORITE
65760	67400	TARGET APPARENTLY ON INSTAGRAM.
67400	69160	CHECK THIS OUT.
69160	71960	HE LOOKS LIKE HE IS ANGRY ABOUT
71960	74440	THE FACT THAT HE'S 4'10 AND HE
74440	77280	LOOKS LIKE HE IS SO MAD THAT HE
77280	79680	IS 4'10 THAT HE'S TAKEN THAT ANGER
79680	84460	OUT AT ANY OTHER POPULATION,
84460	85460	POSSIBLE.
85460	88740	LIKE, LAUGH AT THEM.
88740	89540	LAUGH AT THEM.
