start	end	text
0	5400	is potentially a problem in the future for Republicans if a Democratic president someday
5400	10980	calls the National Guard to a red state over what they see as open rebellion, but is what
10980	13800	amounts to a demonstration that gets rowdy?
13800	15680	I mean, is that not a few years?
15680	19080	Yes, and they're posting pictures of their kids because it's a demonstration, and they
19080	23960	have a sniper on top of a building firing a high-caliber rifle at a nice facility because
23960	27120	it's a demonstration, and they are engaged in a vehicle ramming attacks.
27120	32280	The National Guard isn't being sent to Dallas where that sniper was.
32280	35300	Because the Dallas Police Department and the governor of Texas, well, you walked right
35300	39460	into that one, have responded to every call for assistance and help.
39460	43320	They gave a stand-down order in Chicago, and they gave a stand-down order in Portland.
43320	47680	Do you realize that there's 11,000 federal law enforcement officers in Oregon?
47680	50500	That's larger than the size of the FBI.
50500	55680	Local and state police are resourced to deal with this kind of riotous assembly, but they
55680	56680	have refused.
56680	57680	They're going to be given a stand-down order.
57680	60680	So, we need to use the National Guard and federal troops to fill in that breach.
60680	62680	They've been arresting folks on the ground.
62680	63680	They've been arresting folks on the ground.
63680	64680	They repeat what you're saying outright.
64680	65680	They repeat what you haven't touched.
65680	69680	They repeat what you're saying outright.
