start	end	text
0	1920	HER COMMENT IS UNIMAGINABLY
1920	4400	STUPID, OFFENSIVE, AND DANGEROUS.
5460	7160	THE RAID SHE'S TALKING ABOUT IN
7160	9420	CHICAGO WAS A BRILLIANTLY
9440	12020	EXECUTED RAID AGAINST A TRAIN
12020	14280	DE ARAGUA COMPLEX FILLED WITH
14300	15180	TDA TERRORISTS.
15200	16240	IT'S ONE OF THE MOST SUCCESSFUL
16240	17840	LAW ENFORCEDING OPERATIONS THAT
17860	19280	WE'VE SEEN IN THIS COUNTRY.
19300	21360	AS YOU KNOW, LAURA, TRAIN DE
21360	22600	ARAGUA IS RESPONSIBLE FOR SOME
22600	24340	OF THE MOST GRUESOME, HEINOUS
24340	26220	CRIMES THAT HAVE OCCURRED DURING
26220	28100	THE BIDEN ADMINISTRATION, LIKE
28100	30400	THE VICIOUS SEXUAL ASSAULT,
30420	32040	KIDNAPPING, AND SLAUGHTER OF
32040	34960	JOSELYN NUNGARY OR THE STONE-COLD
34980	37240	BUTCHERING OF LAKEN RILEY.
37240	39980	SO THESE ICE OFFICERS, THESE HEROES
39980	42140	SAVED GOD KNOWS HOW MANY LIVES BY
42140	43820	GETTING THESE TDA SCUM OUT OF
43820	44520	OUR COUNTRY.
44520	45880	PENDING THE LIVES, BY THE WAY, OF
45880	47140	EVERY SINGLE PERSON IN THAT
47140	47540	BUILDING.
47540	49500	A TRULY REMARKABLE OPERATION,
49500	50060	LAURA.
50060	51940	STEVEN, GOVERNOR PRISKER IS VERY
51940	53980	UPSET THAT YOU ALL AREN'T GOING
53980	55900	AFTER THE REAL PROBLEMS.
55900	56500	WHY?
