start	end	text
0	1760	THUGS IN BANDANAS THROUGH ROCKS
1760	3580	AND BOTTLES AT ICE AGENTS ON
3580	4680	PATROL.
4680	6040	CHICAGO POLICE?
6040	7680	NOWHERE TO BE FOUND.
7680	9440	ONE WOMAN WITH A RIFLE RAMMED
9440	11240	HER CAR INTO AN ICE VEHICLE USING
11240	12420	IT AS A WEAPON.
12420	13840	THE ICE VEHICLE WAS DISABLED,
13840	15240	LEAVING AGENTS TRAPPED AND
15240	17120	FORCED TO OPEN FIRE.
17120	20080	THE DRIVER, MARIMAR MARTINEZ,
20080	21480	SHE WAS FLAGGED LAST WEEK FOR
21480	23260	DOXING AGENTS AND POSTING THIS,
23260	24960	QUOTE, HEY, TO ALL MY GANG,
24960	27060	LET'S F THESE MOTHER F-ERS UP.
27060	29360	DON'T LET THEM TAKE ANYONE.
29360	30800	THIS WAS THE SECOND RAMMING
30800	32540	INCIDENT OVER THE WEEKEND.
32540	33800	THE FEDS TRIED CALLING FOR
33800	36700	BACKUP BUT CHICAGO PD WAS ORDERED
36700	37660	TO PULL A BENGHAZI.
