start	end	text
0	1440	I WANT THEM ALL TO COME.
1440	3240	I BELIEVE THE BEST WAY IN WHICH
3240	5840	WE CAN DEMONSTRATE RESISTANCE IS
5840	9160	NOT BENDING THE KNEE TO TYRANNY.
9160	10600	TYRANNY IS WHEN YOU'RE TOO
10600	11800	AFRAID TO LEAVE YOUR HOUSE ON
11800	13280	THE SOUTH SIDE.
13280	15840	AMERICANS FEAR CRIME, NOT ICE.
15840	17520	ILLEGALS FEAR ICE, AND THEY
17520	19840	SHOULD, ESPECIALLY NOW THAT GREG
19840	21000	ABBOTT IS SENDING THE NATIONAL
21000	22520	GUARD TO CHICAGO.
22520	24240	FIRST ABBOTT BUSS BIDEN MIGRANTS
24240	25880	INTO ILLINOIS TO MAKE BLUE STATES
25880	27560	FEEL LIKE BORDER STATES.
27560	28800	THAT KIND OF HELPED TRUMP WIN THE
28800	30800	ELECTION AND NOW TRUMP SAYS,
30800	31800	ABBOTT, CAN YOU SEND THE GUARD
31800	32800	BACK TO PICK THEM UP AND TAKE
32800	33800	THEM HOME?
33800	36800	200 TROOPS ARE ROLLING IN AND
36800	38040	PRITZER IS CALLING THEM THE N-WORD.
