start	end	text
0	2040	OVER IN CHICAGO, SAME THING.
2040	3760	MAYOR JOHNSON CREATED NO ICE
3760	6620	ZONES AFTER AGENTS GOT BENGHAZIED.
6620	7920	WHEN IN ANTIFA, BONNIE AND
7920	9520	CLYDE RAMMED AGENTS WITH THEIR
9520	10020	CARS.
10020	11960	THERE WAS A CALL FOR BACKUP, BUT
11960	13320	A STAND-DOWN ORDER WENT OUT ON
13320	14000	THE RADIO.
14000	16200	THEY GOT BOOKED, BUT A DEMOCRAT
16200	17760	BACK JUDGE JUST RELEASED THEM
17760	19680	FOR HAVING GOOD TIES TO THE
19680	20160	COMMUNITY.
20160	23440	THE WOMAN, WHO IS A TEACHER, IS
23440	25240	ACCUSED OF FOLLOWING ICE AGENTS
25240	27600	IN THE CAR FOR 30 MINUTES, DOXING
27600	29740	THEM LIVE ON FACEBOOK, HAD A GUN
29740	31740	IN THE CAR AND RAMMED THEM.
31740	33620	PROSECUTORS SAY THEY'RE EXTREMELY
33620	34620	DANGEROUS.
34620	37100	ICE AGENTS ALREADY HAVE BOUNIES ON
37100	38600	THEIR HEADS AND THESE JUDGES ARE
38600	40060	MAKING IT TOO EASY.
40060	42500	A LATIN KING SHOT CALLER JUST
42500	45060	PUT OUT A $10,000 HIT OUT ON A
45060	46500	BORDER PATROL COMMANDER.
46500	48740	WHOSE SIDE ARE THESE PEOPLE ON?
