start	end	text
0	1500	IF THAT HAD BEEN YOUR WIFE STACEY.
1500	2300	OKAY, ALL RIGHT, WE'RE NOT
2300	3300	GOING TO ANSWER IT.
3300	4300	THANK YOU.
4300	5300	THANK YOU.
5300	6300	ALL RIGHT.
6300	8100	WOULD YOU WANT ICE TO DEPORT HER?
8100	9100	ALL RIGHT.
9100	11100	LET'S MOVE ON.
11100	12100	MOVING ON.
12100	13600	THE CHICAGO MARATHON IS THIS
13600	14100	WEEKEND.
14100	15900	PEOPLE FROM ALL OVER THE WORLD
15900	17400	ARE FLYING INTO RACE.
17400	19100	AND THE MAYOR THINKS HOMEN IS
19100	20900	GOING TO HANDCUFF MEXICAN RUNNERS
20900	21800	AT THE FINISH LINE.
