start	end	text
0	13760	yourself.
13760	22760	Oh, get there.
22760	27140	THE CITY IS REBELLING AGAINST
27140	29760	THE FEDERAL GOVERNMENT JUST LIKE
29760	30640	IN CHICAGO.
30640	33280	PORTLAND PD WON'T KEEP FEDERAL
33280	34540	AGENTS SAFE EITHER.
34560	37040	THEY ACTUALLY SLAPPED THEM WITH
37040	39760	A ZONING VIOLATION FOR BOARDING
39760	42280	UP THEIR BUILDING'S WINDOWS SO
42280	43880	ANTIFA CAN'T SEE INSIDE.
43880	46280	THEY BELIEVE WOMEN HAVE A RIGHT
46280	48160	TO PRIVACY, JUST NOT ICE.
48160	50360	AN ICE FACILITY WAS JUST SHOT UP
50360	52720	IN DALLAS AND NOW CARTELS HAVE
52720	54600	BOUNTIES ON THEIR HEADS.
54600	56200	THEY'RE MAKING PLANS TO AMBUSH
56200	57360	THEM AND TO KILL THEM.
57360	59440	WE HAVE SPECIFIC OFFICERS AND
59440	60800	AGENTS THAT HAVE BOUNTIES THAT
60800	62480	HAVE BEEN PUT OUT ON THEIR HEADS.
62480	64560	IT'S BEEN $2,000 TO KIDNAP THEM,
64560	66560	$10,000 TO KILL THEM.
66560	67520	WE'RE TRYING TO PROTECT THE
67520	69480	COUNTRY FROM CARTELS AND THEY'RE
69480	72480	SAYING WE'RE AT WAR WITH AMERICANS
72480	74320	AND CHRISTIE NOEM SHOULD BE CHARGED
74320	75520	WITH WAR CRIMES.
