start	end	text
0	2000	I DON'T THINK THAT'S WHAT I
2000	3000	THINK.
3000	4000	JAY HAS APOLOGIZED.
4000	6000	THE STATEMENTS THAT HE MADE
6000	7000	WERE INDEFENSIBLE.
7000	9000	BUT I'VE KNOWN JAY JONES FOR 25
9000	10000	YEARS.
10000	12000	I THINK THOSE STATEMENTS WERE
12000	13000	NOT IN CHARACTER.
13000	14000	AND HE HAS APOLOGIZED.
14000	16000	I WISH OTHER PEOPLE IN PUBLIC
16000	17000	LIFE WOULD SINCERELY APOLOGIZE
17000	18000	FOR STUFF.
18000	20000	SO NO, I STILL AM A SUPPORTER.
20000	22000	SO THE LEFT WILL CANCEL YOU
22000	24000	FOR POSTING A MEME IN HIGH
24000	26000	SCHOOL AND THEN TURN AROUND AND
26000	28000	TELL YOU TO ELECT A GUY WHO SAYS
28000	29000	HE WANTS REPUBLICANS CHILDREN TO
29000	31000	THEIR OWN OVERBOARD EVER AGAIN.
31000	33000	THESE ARE THE NEW RULES.
33000	35000	YOU CAN SAY ANYTHING AND SURVIVE.
