start	end	text
0	3760	If you ask the majority of people of color,
3760	6000	as well as the majority of police officers,
6000	7680	they would describe their relationship
7680	9920	as worst case, one of war.
9920	13320	I don't believe that within the policing community,
13320	16640	we have handled the conversation of bias
16640	19680	and racism, prejudice very well.
19680	23240	The reality is these challenges are only going to increase.
23240	25160	We need to do something different.
25160	27680	Chief Bob, who I bet still wears a white dudes
27680	30900	for Harris hat on the weekends, hasn't been able to stop
30900	33100	TRANTIFA assaulting immigration officers
33100	35080	for the last 100 days.
35080	36860	And now we know why.
36860	40040	Bob and his men are helping Antifa stay out of trouble.
