start	end	text
0	3000	BEFORE YOU GIVE THIS GUY MORE
3000	5000	CLICKBATE AND MAKE HIM MORE
5000	8000	MONEY, BEFORE YOU GIVE HIM MORE
8000	10000	MONEY FOR CLICKBATE BY ERASING
10000	11000	YOUR VOICE.
11000	14000	GO AND FIGHT THE GOVERNMENT.
14000	16000	YOU F***ING MEDIA.
16000	18000	WHEN ICE VANS ARE ABLE TO BUST
18000	20000	THROUGH THE BARRICADES ANTIFA IS
20000	22000	THROWN UP AROUND THEIR BUILDING
22000	24000	THEY'RE NAILING THE WORST FIRST.
24000	27000	A FENTANYL TRAFFICKER, A MURDER
27000	29000	SUSPECT, SEX, PREDATORS,
29000	30000	DEMOCRATS.
30000	31000	IMMIGRATION POLICE HAVE BEEN
31000	33000	GETTING PILTED WITH ROCKS, LASER
33000	34000	BEAMED AND LOOGED.
34000	36000	BUT DEMOCRATS SAY IT'S ALL SMOKE
36000	37000	AND MIRRORS.
