start	end	text
0	2260	1,700 career criminals out,
2260	3760	brought them back to where they came from,
3760	5120	the countries where they came from,
5120	6960	or put them in jails.
6960	11600	Washington, D.C. is now a totally safe city again,
11600	13100	and I welcome you to come.
13100	16500	In fact, we'll have dinner together at a local restaurant,
16500	17560	and we'll be able to walk.
17560	21120	We don't have to go by an armor-plated vehicle.
21120	23240	We'll walk right over there from the White House.
