start	end	text
0	2840	At the NATO summit in June, virtually all NATO members
2840	6480	formally committed to increased defense spending,
6480	11340	at my request, from 2 percent to 5 percent of GDP,
11340	15080	making our alliance far stronger and more powerful
15080	17380	than it was ever before.
17380	19960	In May, I traveled to the Middle East
19960	23020	to visit my friends and rebuild our partnerships in the Gulf
23020	27200	and those valued relationships with Saudi Arabia,
27200	31540	Qatar and the UAE and other countries are now,
31540	34380	I believe, closer than ever before.
