start	end	text
0	5380	to hunt for oil, but we don't have to do much hunting because we have the most oil of any
5380	8960	nation anywhere, oil and gas in the world.
8960	13800	And if you add coal, we have the most of any nation in the world.
13800	15520	Clean — I call it clean, beautiful coal.
15520	20440	You can do things today with coal that you couldn't have done 10 years ago, 15 years.
20440	23280	So I have a little standing order in the White House.
23280	28120	Never use the word coal, only use the words clean, beautiful coal.
28120	30040	Sounds much better, doesn't it?
30040	34500	But we stand ready to provide any country with abundant, affordable energy supplies if you
34500	35880	need them, when most of you do.
