start	end	text
0	2560	beautiful planet, a planet that we all share,
2560	5880	a planet of peace and a world that is richer, better,
5880	7500	and more beautiful than ever before.
7500	9940	That can happen. It will happen.
9940	12380	It will happen, and I hope it can happen
12380	15220	and start right now, right at this moment.
15220	16380	We'll turn it around.
16380	19380	We're going to make our countries better, safer,
19380	22120	more beautiful, and we're going to take care of our people.
22120	23660	Thank you very much. It's been an honor.
23660	25760	God bless the nations of the world.
25760	26900	Thank you very much. Bye.
30000	35000	Thank you very much.
