start	end	text
0	3780	I'm very sorry to say this, that Brazil is doing poorly
3780	6380	and will continue to do poorly.
6380	11420	They can only do well when they're working with us.
11420	14320	Without us, they will fail, just as others have failed.
14320	14940	It's true.
14940	17040	Next year, the United States will celebrate
17040	21100	the 250th anniversary of our glorious independence,
21100	25340	a testament to enduring power and American freedom and spirit.
25340	30980	We will also be proudly hosting the 2026 FIFA World Cup
30980	33960	and shortly thereafter the 2028 Olympics,
33960	35180	which is going to be very exciting.
35180	36640	I hope you all come.
36640	39100	I hope that countless people from all over the globe
39100	41500	will take part in these greats.
41500	44180	These will be great celebrations of liberty
44180	47760	and human achievement, and that together we all can rejoice
47760	50540	in the miracles of history that began in July 4th.
