start	end	text
0	2340	In America, those days, as you know, are over.
2340	4740	The Trump administration is working,
4740	8240	and we are continuing to work to track down
8240	10880	the villains that are causing this problem.
10880	15920	And also, as I said, to get back the 30,000.
15920	17420	We've already returned.
17420	18920	Now I think we're going to have another.
18920	20260	We're going to find a lot.
20260	21520	You're not going to find all of them.
21520	24600	300, more than 300,000.
24600	26660	They're lost or they're dead.
26660	28720	They're lost or they're dead
28720	31580	because of the animals that did this.
31580	33120	To protect our citizens,
33120	37700	I've also designated multiple savage drug cartels
37700	39800	as far as you see this,
39800	41640	and you see it happening right before your eyes.
