start	end	text
0	3760	Whether you have come from north or south, east or west,
3760	8320	near or far, every leader in this beautiful hall today
8320	11700	represents a rich culture, a noble history,
11700	15540	and a proud heritage that makes each nation majestic
15540	19440	and unique, unlike anything else in human history
19440	23220	or any other place on the face of the earth.
23220	26640	From London to Lima, from Rome to Athens,
26640	31860	from Paris to Seoul, from Cairo to Tokyo and Amsterdam
31860	34260	to right here in New York City,
34260	37240	we stand on the shoulders of the leaders and legends,
37240	39660	generals and giants, heroes and titans,
39660	43640	who won and built our beloved nations, all of our nations.
