start	end	text
0	2100	magnificent destiny.
2100	6180	Everybody in this room is a part of it in your own way.
6180	9340	Each of us inherits the deeds and the myths,
9340	12480	the triumphs, the legacies of our own heroes and founders
12480	14980	who so bravely showed us the way.
14980	18520	Our ancestors gave everything for homelands
18520	23360	that they defended with pride, with sweat,
23360	26760	with blood, with life, and with death.
26760	29620	Now the righteous task of protecting the nations
29620	33560	that they built belongs to each and every one of us.
