start	end	text
0	2600	That's why the United States is now applying tariffs
2600	4200	to other countries.
4200	7180	And much as these tariffs were, for many years,
7180	11180	applied to us, uncontrollably applied to us,
11180	15820	we've used tariffs as a defense mechanism
15820	19460	under the Trump administration, including my first term,
19460	23020	where hundreds of billions of dollars in tariffs were taken in.
23020	24700	And by the way, we had the lowest inflation,
24700	26800	and now we have very low inflation.
26800	28800	The only thing different is that we have hundreds
28800	30900	of billions of dollars flowing into our country.
