start	end	text
0	2200	You can do it properly.
2200	3940	But they went back to where they were,
3940	7180	and they opened up a lot of different plants,
7180	10080	energy plants, energy-producing plants,
10080	11140	and they're doing well.
11140	13740	I give Germany a lot of credit for that.
13740	17020	They've said this is a disaster what's happening.
17020	18420	They were going all green.
18420	21560	All green is all bankrupt.
21560	23420	That's what it represents.
23420	25660	And it's not politically correct.
25660	27820	I'll be very badly criticized for saying it,
27820	29800	but I'm here to tell the truth.
29800	32140	I don't care. It doesn't matter to me.
32140	33980	I'm in New York City.
33980	35480	I'm feeling a lot safer.
35480	37300	Crime, we're getting crime down.
37300	39980	And by the way, speaking of crime, Washington, D.C.
39980	41380	Washington, D.C.
