start	end	text
0	5240	1776, when we founded the light to all nations,
5240	8300	and it's something really that is an amazing thing
8300	9900	came out of that date.
9900	12500	It's called the United States of America.
12500	14540	In honor of this momentous anniversary,
14540	17860	I hope that all countries who find inspiration in our example
17860	22260	will join us in renewing our commitment, values,
22260	26200	and those values, really, that we hold so dear together.
26200	28800	Let us defend free speech and free expression.
28800	30600	Let us protect religious liberty,
30600	35440	including for the most persecuted religion on the planet today.
35440	37740	It's called Christianity.
37740	41100	And let us safeguard our sovereignty and cherish qualities
41100	44200	that have made each of our nations so special,
44200	46540	incredible, and extraordinary.
46540	49260	In closing, I just want to repeat that immigration
49260	53100	and the high cost of so-called green renewable energy
53100	55860	is destroying a large part of the free world
55860	58160	and a large part of our planet.
58160	59440	Countries that cherish
