start	end	text
0	4240	Years ago, in the 1920s and the 1930s, they said,
4240	7140	global cooling will kill the world.
7140	8920	We have to do something.
8920	12420	Then they said, global warming will kill the world.
12420	14020	But then it started getting cooler.
14020	16020	So now they could just call it climate change,
16020	18340	because that way they can't miss.
18340	19940	It's climate change.
19940	22780	Because if it goes higher or lower, whatever the hell
22780	24240	happens, there's climate change.
