start	end	text
0	1820	FOX NEWS OBTAINED A PHOTOGRAPH
1820	3820	OF THE DISPATCH ORDER SENT OUT
3820	5900	AFTER BORDER PATROL AGENTS CALLED
5900	8820	IN THAT THEY WERE UNDER ATTACK.
8980	10400	THE POLICE DEPARTMENT ISSUED A
10400	11720	STATEMENT YESTERDAY TRYING TO
11720	14520	WALK THE ORDER BACK SAYING CPD
14520	16520	OFFICERS DID IN FACT RESPOND TO
16520	17820	THAT SHOOTING SCENE INVOLVING
17820	19480	FEDERAL AUTHORITIES ON SATURDAY
19480	21600	TO MAINTAIN PUBLIC SAFETY AND
21600	22360	TRAFFIC CONTROL.
22460	23980	HOWEVER, TWO POLICE SOURCES TOLD
23980	26000	FOX NEWS THAT'S NOT TRUE.
26500	28000	TWO SUSPECTS WERE ARRESTED FOR
28000	29920	ALLEGEDLY RAMMING THEIR CARS AND
29920	31920	INVESTIGATING THEIR CARS AND
31920	34040	DHS SAYS ONE SUSPECT WAS FLAGGED
34040	36040	IN AN INTELLIGENCE BULLETIN LAST
36040	37420	WEEK FOR THREATENING AGENTS.
37420	38680	THIS WEEKEND SHE ALLEGEDLY
38680	41360	SIDESWIPED AN AGENT'S CAR AND WAS
41360	42980	CARRYING A GUN.
42980	45140	THAT AGENT, UNABLE TO ESCAPE, SHOT
45140	46740	AND INJURED HER.
46740	48040	BEFORE WE GO FURTHER, I WANT TO
48040	50400	START WITH THIS FIRST SITUATION,
50400	51480	DOUGLAS.
51480	53600	WE ARE IN WHAT WE MIGHT CALL AND
53600	55680	SOME OTHERS HAVE AN ASSASSINATION
55680	56040	CULTURE.
56040	58520	AND SO WHEN YOU PUT PEOPLE IN
58520	60520	DANGER AND YOU CAUSE A NO-GO
60520	62520	ZONE AROUND GOING TO HELP AGENTS
62520	63520	OR LAW ENFORCEMENT, YOU'RE
63520	65520	CREATING A PERFECT SCENE FOR
65520	66520	SOMEONE TO BE KILLED.
66520	67520	OH, YEAH.
67520	68520	AND IT'S BEEN HAPPENING FOR
68520	69520	YEARS, THIS.
